// ThingDef
сипуха; сипухи
филин; филины
пустельга; пустельги
ворон; вороны
яйцо сипухи (неопл.); яйца сипухи (неопл.)
яйцо сипухи (опл.); яйца сипухи (опл.)
яйцо филина (неопл.); яйца филина (неопл.)
яйцо филина (опл.); яйца филина (опл.)
яйцо пустельги (неопл.); яйца пустельги (неопл.)
яйцо пустельги (опл.); яйца пустельги (опл.)
яйцо ворона (неопл.); яйца ворона (неопл.)
яйцо ворона (опл.); яйца ворона (опл.)

какаду; какаду
птица-носорог; птицы-носороги
попугай; попугаи
тукан; туканы
яйцо какаду (неопл.); яйца какаду (неопл.)
яйцо какаду (опл.); яйца какаду (опл.)
яйцо птицы-носорога (неопл.); яйца птицы-носорога (неопл.)
яйцо птицы-носорога (опл.); яйца птицы-носорога (опл.)
яйцо попугая (неопл.); яйца попугая (неопл.)
яйцо попугая (опл.); яйца попугая (опл.)
яйцо тукана (неопл.); яйца тукана (неопл.)
яйцо тукана (опл.); яйца тукана (опл.)
