// AbilityDef
небесный полёт; небесные полёты
прыжок; прыжки
исцеляющее прикосновение; исцеляющие прикосновения
искупление; искупления
священный гимн; священные гимны

// HediffDef
под влиянием благоволения ангела;  под влияниями благоволения ангела
зависимость от благоволения ангела; зависимости от благоволения ангела

// ThingDef
аазимар; аазимары
ангельский нимб; ангельские нимбы
жёлтые светящиеся глаза; жёлтые светящиеся глаза
благоволение ангела; благоволения ангела
райская лилия; райские лилии
порошок райской лилии; порошки райской лилии
